manner_of_death,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,gender
shot,gun,27.0,White,Austin,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,57.0,White,New City,NY,TRUE,attack,Not fleeing,FALSE,Guns,M
shot,gun,46.0,White,Orange County,FL,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,41.0,White,Nocona,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,61.0,White,Smyrna,ME,TRUE,undetermined,Not fleeing,FALSE,Guns,M
shot,gun,45.0,Black,Dallas,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,49.0,Black,Whitehaven,TN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,45.0,White,New Castle,CO,TRUE,attack,Car,FALSE,Guns,M
shot and Tasered,unarmed,35.0,Hispanic,Pasco,WA,TRUE,other,Foot,FALSE,Unarmed,M
shot,knife,23.0,Black,San Jose,CA,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,toy weapon,46.0,White,Dadeville,AL,TRUE,attack,Foot,TRUE,Other unusual objects,M
shot,unknown,23.0,White,San Bernardino,CA,FALSE,attack,Car,FALSE,Unknown,M
shot,gun,21.0,Hispanic,Kansas City,KS,FALSE,attack,Car,FALSE,Guns,M
shot,unarmed,35.0,Hispanic,Reading,PA,FALSE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,27.0,White,McLemoresville,TN,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,knife,37.0,Hispanic,San Manuel,AZ,TRUE,other,Not fleeing,FALSE,Sharp objects,M
shot,gun,16.0,White,Essex,MD,TRUE,attack,Car,FALSE,Guns,M
shot,gun,51.0,White,Laredo,TX,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,34.0,White,Iuka,MS,FALSE,attack,Foot,FALSE,Guns,M
shot,hatchet,34.0,White,Colton,OR,TRUE,other,Not fleeing,FALSE,Blunt instruments,M
shot and Tasered,unarmed,25.0,Black,Miami Gardens,FL,TRUE,other,Not fleeing,FALSE,Unarmed,M
shot,gun,56.0,White,Marana,AZ,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,gun,26.0,White,Boise,ID,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,24.0,White,Provo,UT,TRUE,attack,Not fleeing,FALSE,Other unusual objects,M
shot,gun,43.0,White,Gaston County,NC,FALSE,attack,Not fleeing,FALSE,Guns,F
shot,unarmed,31.0,White,Springfield,MO,FALSE,other,Foot,FALSE,Unarmed,M
shot,gun,32.0,White,Eaton Rapids Township,MI,FALSE,attack,Not fleeing,FALSE,Guns,M
shot,toy weapon,30.0,White,Tewksbury,MA,FALSE,attack,Foot,FALSE,Other unusual objects,M
shot,unknown,50.0,Hispanic,Del Rio,TX,FALSE,other,Not fleeing,FALSE,Unknown,M
